x,y,P/P0,P,M
3.35,125.82677165354332,0.9379225042613402,0.8847422982697222,0.303969691694525
10.0,119.25196850393702,0.9302769577080596,0.8775302542060127,0.3229867150665495
19.5,110.66929133858268,0.9178628415159299,0.8658200184019768,0.35206598397017697
30.0,102.51968503937009,0.9025300358388808,0.8513565828068164,0.38558035226529896
40.0,95.74803149606299,0.8860028018790229,0.8357664430124824,0.4194422950890025
50.0,90.15748031496064,0.8686463169967226,0.8193940708230084,0.45306965676758004
60.0,85.15748031496064,0.8490930394775931,0.8009494641392135,0.4891241579939608
70.0,80.70866141732284,0.8271592204987555,0.7802592926964761,0.5277936966447868
80.0,76.69291338582677,0.8020658821083764,0.7565887465928315,0.5702914808193685
90.0,73.22834645669292,0.7744420973752161,0.7305312304540413,0.6154879309494499
100.0,71.0236220472441,0.7526180374770968,0.7099445947521454,0.6503345191030081
110.0,68.22834645669292,0.7175583225279678,0.676872765640632,0.705232897105664
120.0,66.33858267716536,0.6862134412172596,0.647305139100241,0.7536298031777122
130.0,65.03937007874016,0.658227157689108,0.6209056778481356,0.7966141282642882
140.0,63.85826771653544,0.623732541017977,0.5883669059422578,0.8496595913076637
150.5,62.952755905511815,0.5814722377756126,0.5485027618937355,0.9153011214993017
160.0,62.637795275590555,0.552187100307571,0.5208780917201317,0.9615655647515366
165.0,62.55905511811024,0.5282817685054342,0.4983281922311761,1.0000000311712542
170.0,62.637795275590555,0.504324793831289,0.4757295780210549,1.039273145579144
180.0,63.22834645669292,0.4587609363550471,0.4327491912637159,1.11661483123702
190.0,64.33070866141733,0.41634261626258423,0.3927359899204957,1.1926501799782825
199.0,65.8267716535433,0.3784534581008059,0.3569951470264902,1.264874613759331
210.0,67.99212598425197,0.33909166410091374,0.3198651667463919,1.3454673168964058
220.0,69.80314960629921,0.3135415541742664,0.2957637480525855,1.4015818820586867
230.0,71.81102362204724,0.2900655119524604,0.2736187974247559,1.4563741359778473
240.0,74.09448818897638,0.2676904931031509,0.2525124421442022,1.5120316101549005
250.0,75.98425196850394,0.2517541668801458,0.23747970561804152,1.5540730200333799
260.5,78.1496062992126,0.23571369992394212,0.2223487331382546,1.598731427602914
270.0,79.76377952755907,0.2250163888889196,0.21225795963891786,1.6299929712775585
280.0,81.53543307086615,0.21431203127996792,0.20216053910639376,1.6626036490784464
290.0,83.1496062992126,0.20537478014351943,0.1937300301093819,1.6909531620531926
300.3,84.7244094488189,0.1973098348349421,0.18612236719980088,1.7174975289665144
310.3,86.10236220472441,0.19072437775820256,0.17991030553931248,1.7399070827214302
320.5,87.5984251968504,0.18402145188977836,0.17358743556762793,1.7634489768614616
330.0,88.70078740157481,0.17935391491913336,0.1691845479432185,1.7803089384655366
340.0,89.68503937007874,0.17536608013100974,0.1654228233875815,1.7950356266709468
350.0,90.70866141732284,0.17138678238304175,0.1616691518219233,1.8100415663232778
360.0,91.69291338582677,0.16771227419111154,0.15820298824447554,1.8241870663043767
369.8,92.67716535433071,0.16417769187677092,0.15486881674735803,1.838068005873124
380.0,93.46456692913387,0.16144537077577398,0.1522914182527876,1.848990361457564
390.0,94.37007874015748,0.1584026350801369,0.14942120567109315,1.861358668725094
400.0,94.76377952755907,0.1571115808842272,0.1482033542480915,1.8666739637138157
410.0,95.15748031496064,0.15583923475866193,0.1470031501478458,1.871952467568052
420.0,95.55118110236221,0.15458518858464126,0.1458202083918921,1.8771948005601822
430.0,95.86614173228347,0.15359486126606228,0.14488603263227656,1.8813630296009916
440.0,96.14173228346458,0.15273756929877244,0.14407734911953204,1.884991793766689
449.7,96.45669291338584,0.1517681989877573,0.14316294210515146,1.8891181475528664
460.0,96.73228346456693,0.15092895123224745,0.142371279697379,1.892710719532717
470.0,97.04724409448819,0.149979875421152,0.14147601648477268,1.8967962128626772
482.0,97.3228346456693,0.1491581049996644,0.14070084044618344,1.900353462522142
490.0,97.63779527559056,0.1482286900400717,0.13982412331479963,1.9043990694713957
499.0,97.71653543307087,0.14799794234896782,0.13960645901778135,1.9054071972187185
510.0,98.03149606299213,0.14708129610116413,0.13874178661222814,1.909426735336906
520.0,98.03149606299213,0.14708129610116413,0.13874178661222814,1.909426735336906
530.0,98.22834645669292,0.14651349405466965,0.1382061789417699,1.911928488290527
540.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
543.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
546.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
549.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
552.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
555.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
558.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
561.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
564.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
567.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
570.0,98.50393700787401,0.14572507436162646,0.13746246264532225,1.915417566415877
